age,year,moday,site,PopEst,PopSE
pup,2007,618,JHop,1312.52161985532,97.6727788797392
adu,2007,618,JHop,2116.77223011171,134.819528762731
pup,2007,619,JHop,1499.64572362672,138.043772733851
adu,2007,619,JHop,2840.68616416673,262.358114146147
pup,2007,620,JHop,688.487238530704,40.6234628892741
adu,2007,620,JHop,1325.73989746024,79.7923644290462
pup,2007,621,JHop,1121.8037480438,58.8675247230885
adu,2007,621,JHop,2066.90944920107,106.898897010725
adu,2007,813,JHop,1075.88412851428,94.8276696881614
adu,2007,815,JHop,1687.10663489373,145.425649872276
adu,2007,817,JHop,1541.41333288978,208.091419958511
adu,2007,822,JHop,1617.44207053273,115.050401833482
pup,2008,625,JHop,462.955812600684,36.4063692754977
adu,2008,625,JHop,1651.56577893935,106.148818259562
pup,2008,629,JHop,458.26732381126,29.5077980053885
adu,2008,629,JHop,1682.00009121971,83.7137344325299
pup,2008,710,JHop,89.9521039476665,12.4129438749295
adu,2008,710,JHop,1479.44085571065,165.299690317773
adu,2008,811,JHop,1675.30192405497,130.906058831616
adu,2008,815,JHop,1693.0299318684,202.561467245968
adu,2008,817,JHop,1764.73471222361,195.885505886853
pup,2009,620,JHop,1034.20459650731,49.9031921569158
adu,2009,620,JHop,2187.34984041759,107.61376605282
pup,2009,621,JHop,855.026295949194,54.3176030810223
adu,2009,621,JHop,2194.34981431571,108.879780419534
pup,2009,623,JHop,819.325405179662,42.3411117872755
adu,2009,623,JHop,1917.05176497961,101.973088554685
adu,2009,810,JHop,1930.49320261727,196.799985548581
adu,2009,812,JHop,1079.30153799807,76.0716133789109
pup,2010,614,JHop,1434.04775955608,94.6605041709987
adu,2010,614,JHop,2654.87238305771,167.840853548137
pup,2010,616,JHop,958.264440601788,43.4699181577945
adu,2010,616,JHop,2408.25177700279,132.631650618359
pup,2010,617,JHop,841.558244372827,69.6239957958584
adu,2010,617,JHop,1962.63136621704,182.102994734117
adu,2010,813,JHop,1761.85114776979,131.723808551941
adu,2010,814,JHop,1662.9062300589,106.846133723136
adu,2010,816,JHop,1122.29884742978,84.4686114615391
pup,2011,612,JHop,1072.18259369363,43.4939706069432
adu,2011,612,JHop,1825.82273002866,79.0573341794952
pup,2011,613,JHop,1187.51040171124,48.6260568317362
adu,2011,613,JHop,2174.81740464625,80.3996261961979
pup,2011,621,JHop,940.158383721138,41.1847119903099
adu,2011,621,JHop,1952.84278999806,101.80384778157
pup,2011,622,JHop,899.434487640998,36.9858906187369
adu,2011,622,JHop,1833.64371256379,76.5894102865187
adu,2011,808,JHop,1523.67104851869,101.541131305134
adu,2011,825,JHop,1162.7026907774,80.1483342170169
pup,2012,612,JHop,688.491754413317,32.002174573527
adu,2012,612,JHop,1385.55054851223,63.2413983613412
pup,2012,613,JHop,1181.78552330624,45.6014470115879
adu,2012,613,JHop,2059.86941618168,86.1680974293847
pup,2012,620,JHop,610.332081819351,29.7855199759007
adu,2012,620,JHop,1545.01617393803,76.4806619236871
pup,2012,623,JHop,460.805403722496,29.5895602532697
adu,2012,623,JHop,1211.56135104252,66.9642093994593
adu,2012,810,JHop,1953.65841221419,108.530567933584
adu,2012,814,JHop,1963.10528180997,143.74771155682
adu,2012,815,JHop,2005.5168368085,155.260132907645
adu,2012,816,JHop,2020.99803692467,171.092047340248
pup,2013,614,JHop,1128.96559432808,45.2037662748142
adu,2013,614,JHop,1948.63198208614,77.3653871789946
pup,2013,619,JHop,843.197147322267,40.9240050269854
adu,2013,619,JHop,1546.65901320159,83.2609517979567
pup,2013,620,JHop,713.409936516933,37.7269862733255
adu,2013,620,JHop,1337.29459693709,79.9583304109951
pup,2013,621,JHop,835.868837787167,39.5227841311703
adu,2013,621,JHop,1662.8094549856,86.7366277089377
adu,2013,813,JHop,1581.85326051338,186.171858348682
adu,2013,814,JHop,2278.55263884857,245.748093721742
adu,2013,815,JHop,2192.35062996151,340.981328251884
adu,2013,820,JHop,1705.35918581325,110.576470166463
pup,2014,619,JHop,838.030546891495,39.6758492565132
adu,2014,619,JHop,1798.19551104701,92.3645164386057
pup,2014,626,JHop,382.238949845294,23.2935676130646
adu,2014,626,JHop,1424.18962294567,72.7483746299802
pup,2014,627,JHop,380.645546162623,23.3210508419293
